H 12.0 0.6887272544398488
He 10.913692522345857 0.05645985931514131
C 10.363409080651333 0.015902168463724175
N 9.277981350059143 0.001306256965699207
O 11.363000727881452 0.1588722320684664
F 7.405385270415719 1.7515903332377498e-05
Ne 8.015682060883188 7.140511619267871e-05
Na 9.23846958818895 0.0011926605590491914
Mg 10.508941473476186 0.02223252261642221
Al 9.40846538603493 0.0017640571683497622
Si 10.479557695790977 0.020778058520020754
P 8.496591035089757 0.00021609180860821586
S 10.191364924832168 0.010700700137810689
Cl 8.199716172794965 0.00010908459965709678
Ar 6.4834449920943005 2.0964874230989974e-06
K 8.05589904599677 7.833328062047825e-05
Ca 9.265598906033532 0.001269539375573268
Ti 7.859768937502583 4.986734044804981e-05
Cr 8.609891464285983 0.0002805037900202802
Mn 8.459561067374723 0.00019843045886619822
Fe 10.433800205230302 0.01870025266801868
Co 7.831740213902339 4.67506316700467e-05
Ni 9.172404615068206 0.0010243582850370232
