T50,elemental_ratio, C/H


656.2290295656617,0.0003,0.0003
656.3373679953509,0.0013000000000000002,0.0013000000000000002
656.3709468942349,0.0023000000000000004,0.0023000000000000004
656.3709468942349,0.0033,0.0033
656.3709468942349,0.0043,0.0043
656.3709468942349,0.005299999999999999,0.005299999999999999
656.3709468942349,0.006300000000000001,0.006300000000000001
656.3709468942349,0.007300000000000003,0.007300000000000003
656.3709468942349,0.008300000000000002,0.008300000000000002
656.3709468942349,0.009300000000000001,0.009300000000000001
656.3709468942349,0.010299999999999998,0.010299999999999998
656.3709468942349,0.0113,0.0113
656.3709468942349,0.012300000000000004,0.012300000000000004
656.3709468942349,0.013300000000000006,0.013300000000000006
656.3709468942349,0.0143,0.0143
656.3709468942349,0.015299999999999996,0.015299999999999996
656.3709468942349,0.016300000000000002,0.016300000000000002
656.3709468942349,0.017300000000000003,0.017300000000000003
656.3709468942349,0.018300000000000004,0.018300000000000004
656.3709468942349,0.0193,0.0193
656.3709468942349,0.020299999999999995,0.020299999999999995
656.3709468942349,0.02130000000000001,0.02130000000000001
656.3709468942349,0.022299999999999997,0.022299999999999997
656.3709468942349,0.023299999999999998,0.023299999999999998
656.3709468942349,0.02430000000000001,0.02430000000000001
656.3709468942349,0.025300000000000007,0.025300000000000007
656.3709468942349,0.026300000000000007,0.026300000000000007
656.3709468942349,0.0273,0.0273
656.3709468942349,0.0283,0.0283
656.3709468942349,0.029300000000000003,0.029300000000000003
656.3709468942349,0.0303,0.0303
656.3709468942349,0.03130000000000001,0.03130000000000001
656.3709468942349,0.0323,0.0323
656.3709468942349,0.03330000000000002,0.03330000000000002
656.3709468942349,0.0343,0.0343
656.3709468942349,0.03530000000000001,0.03530000000000001
656.3709468942349,0.036300000000000006,0.036300000000000006
656.3709468942349,0.03730000000000001,0.03730000000000001
656.3709468942349,0.0383,0.0383
656.3709468942349,0.0393,0.0393
656.3709468942349,0.04030000000000001,0.04030000000000001
656.3709468942349,0.0413,0.0413
656.3709468942349,0.042300000000000004,0.042300000000000004
656.3709468942349,0.04330000000000001,0.04330000000000001
656.3709468942349,0.04429999999999999,0.04429999999999999
656.3709468942349,0.045300000000000014,0.045300000000000014
656.3709468942349,0.0463,0.0463
656.3709468942349,0.04730000000000001,0.04730000000000001
656.3709468942349,0.048300000000000023,0.048300000000000023
656.3709468942349,0.049300000000000004,0.049300000000000004
656.3709468942349,0.05030000000000002,0.05030000000000002
656.3709468942349,0.051300000000000005,0.051300000000000005
656.3709468942349,0.05230000000000002,0.05230000000000002
656.3709468942349,0.05330000000000001,0.05330000000000001
656.3709468942349,0.054299999999999994,0.054299999999999994
656.3709468942349,0.055299999999999995,0.055299999999999995
656.3709468942349,0.0563,0.0563
656.3709468942349,0.057300000000000004,0.057300000000000004
656.3709468942349,0.05830000000000002,0.05830000000000002
656.3709468942349,0.059300000000000005,0.059300000000000005
656.3709468942349,0.0603,0.0603
656.3709468942349,0.06130000000000001,0.06130000000000001
656.3709468942349,0.0623,0.0623
656.3709468942349,0.06330000000000001,0.06330000000000001
656.3709468942349,0.0643,0.0643
656.3709468942349,0.06530000000000001,0.06530000000000001
656.3709468942349,0.06630000000000001,0.06630000000000001
656.3709468942349,0.0673,0.0673
656.3709468942349,0.06830000000000003,0.06830000000000003
656.3709468942349,0.0693,0.0693
656.3709468942349,0.07030000000000002,0.07030000000000002
656.3709468942349,0.0713,0.0713
656.3709468942349,0.0723,0.0723
656.3709468942349,0.07329999999999998,0.07329999999999998
656.3709468942349,0.07429999999999998,0.07429999999999998
656.3709468942349,0.07530000000000002,0.07530000000000002
656.3709468942349,0.07629999999999998,0.07629999999999998
656.3709468942349,0.07730000000000001,0.07730000000000001
656.3709468942349,0.07829999999999998,0.07829999999999998
656.3709468942349,0.0793,0.0793
656.3709468942349,0.0803,0.0803
656.3709468942349,0.0813,0.0813
656.3709468942349,0.08230000000000001,0.08230000000000001
656.3709468942349,0.0833,0.0833
656.3709468942349,0.08430000000000001,0.08430000000000001
656.3709468942349,0.0853,0.0853
656.3709468942349,0.08630000000000002,0.08630000000000002
656.3709468942349,0.08730000000000002,0.08730000000000002
656.3709468942349,0.0883,0.0883
656.3709468942349,0.08930000000000002,0.08930000000000002
656.3709468942349,0.09029999999999999,0.09029999999999999
656.3709468942349,0.09130000000000002,0.09130000000000002
656.3709468942349,0.09230000000000001,0.09230000000000001
656.3709468942349,0.0933,0.0933
656.3709468942349,0.09429999999999998,0.09429999999999998
656.3709468942349,0.09529999999999998,0.09529999999999998
656.3709468942349,0.0963,0.0963
656.3709468942349,0.0973,0.0973
656.3709468942349,0.0983,0.0983
656.3709468942349,0.09930000000000001,0.09930000000000001
656.3709468942349,0.10030000000000004,0.10030000000000004
656.3709468942349,0.10130000000000002,0.10130000000000002
656.3709468942349,0.1023,0.1023
656.3709468942349,0.1033,0.1033
656.3709468942349,0.1043,0.1043
656.3709468942349,0.1053,0.1053
656.3709468942349,0.10629999999999996,0.10629999999999996
656.3709468942349,0.10729999999999999,0.10729999999999999
656.3709468942349,0.10830000000000001,0.10830000000000001
656.3709468942349,0.10929999999999997,0.10929999999999997
656.3709468942349,0.11029999999999998,0.11029999999999998
656.3709468942349,0.1113,0.1113
656.3709468942349,0.11230000000000001,0.11230000000000001
656.3709468942349,0.11330000000000001,0.11330000000000001
656.3709468942349,0.11429999999999998,0.11429999999999998
656.3709468942349,0.11530000000000004,0.11530000000000004
656.3709468942349,0.1163,0.1163
656.3709468942349,0.11729999999999997,0.11729999999999997
