T50,elemental_ratio, C/H



656.3709466160481,0.05,0.05
656.3709466160481,0.09999999999999999,0.09999999999999999
656.3709466160481,0.15000000000000008,0.15000000000000008
656.3709466160481,0.2,0.2
656.370946616048,0.25000000000000006,0.25000000000000006
656.370946616048,0.3,0.3
656.370946616048,0.3500000000000001,0.3500000000000001
656.370946616048,0.4,0.4
656.370946616048,0.45000000000000007,0.45000000000000007
656.370946616048,0.5,0.5
656.370946616048,0.55,0.55
656.2290286440252,0.0003,0.0003
656.3709466160481,0.005299999999999999,0.005299999999999999
