H 12.0
He 10.887725781341421
Li 1.0650891222215684
Be 1.1733814619617675
B 2.3955443486492545
C 15.0
N 7.982019371343531
O 8.878467512083612
F 4.548614835592953
Ne 7.823440044069664
Na 6.368932696789937
Mg 7.587725853295642
Al 6.475509944705819
Si 7.634063951538921
P 5.482506069393662
S 7.224324433388483
Cl 5.481734264531028
Ar 6.3719271546327265
K 5.138383603693561
Ca 6.37053230994973
Sc 3.0778049650727475
Ti 5.0503241484341235
V 4.023345472449207
Cr 5.713390228304842
Mn 5.388516469144456
Fe 7.381372989207425
Co 4.960038393222957
Ni 6.262811104831521
Cu 4.17022753029432
Zn 4.613798394599207
Ga 2.8870579627571935
Ge 3.5681675389663567
As -inf
Se -inf
Br -inf
Kr -inf
Rb 2.673652896268445
Sr 2.884743019653353
Y 2.1793115542093613
Zr 2.7703046194381695
Nb 1.7623621881031486
Mo 2.100687930085428
Ru 1.8226655866542618
Rh 1.4168682083653206
Pd 1.5784279261576515
Ag 1.0954554031517496
Cd 1.8556950642266923
In 1.6703631484360972
Sn 2.0081213601642673
Sb 1.042749052635747
Te -inf
I -inf
Xe -inf
Cs 1.907876772523629
Ba 1.9905764604724183
La 1.2866958576316598
Ce 1.583957284109367
Pr 0.9794239294934428
Nd 1.4463408319094118
Sm 0.9512183478858613
Eu 0.6455513372400894
Gd 1.2329026854773577
Tb -0.07286591662942499
Dy 1.2184155737779623
Ho -inf
Er 0.9049713931978136
Tm 0.20166543923776814
Yb 0.8902059153548549
Lu 0.8854144046933854
Hf 0.8767288415467487
Ta -inf
W 1.466002936504072
Re -0.14163555119698223
Os 1.1501447145793513
Ir 1.1454784204581614
Pt 1.7923901783857747
Au 7.833933948771443
Hg 2.126995014764148
Tl 0.8179183772551308
Pb 1.8119646227690858
Bi 1.8082653906201998
Th 0.23996895934280538
U 0.7517071372274486
